modality,query,answer,pdf,page
infographic,What is the best type of environment to help manage trauma from depression?,"A calm, safe, empowering environment for both the staff and patients.",1021748,24
infographic,What systemic changes can improve the overall health of a black person in the United States?,Granting members of the black community equal access to quality health care like everyone else.,1028096,29
infographic,"Without protective eyewear, what's the percentage chance of infection or transmission of COVID-19?",16.00%,1000360,3
infographic,"Besides trained and research staff, who can provide intervention to help adults dealing with overuse problems with stimulants?",Peers of those adults,1025332,5
infographic,Who can offer advice on the appointment of the Director of DOEE and DCPSC to the mayor?,The DC City Council,1019364,17
infographic,Whats the most effective way to change people in regards to mitigation of and adaptation to climate change?,By teaching and making people aware of climate change,1059801,71
infographic,Can strong evidence contain credible dissent?,No.,1002697,17
infographic,What is average bedroom Latinos can afford to rent with the average Latino yearly income in Rhode Island?,None because the average 1 bedroom yearly is higher than the average Latino income in Rhode Island.,1031214,3
infographic,How can Kafue Flats manage to maintain its fish population?,By reducing the harvest of juvenile bream.,1027721,16
infographic,What is the appropriate distance to be around people in public spaces while wearing a mask to prevent the spread of COVID-19?,Always try to keep at least 6 feet away from people,1017488,27
infographic,When did Ontario Biodiversity Council decide to develop and implement biodiversity plans at the muncipal levels?,From 2016-2020,1011129,11
infographic,What type of pain does Cortisol help deal with?,Headache pain,1016869,8
infographic,What is the best type of control when it comes to COVID-19 and why?,Elimination is the best type of control because preventing the individuals with the virus from entering the area removes the possibility the area can spread the virus completely.,1043275,6
infographic,"According to the c&k careers, what category does waiting staff and Kitchen assistant/porter fall under?",Hospitality,2150019,54
infographic,What are the three components when it comes to balance?,"Breaks: regularly recharge at work, boundaries: leave work at work, and basics: routine, eat well, hydrate, exercise, and sleep. ",1385576,37
infographic,What company is the largest water and water recycling company in England?,anglianwater,2065236,1
infographic,What actions do Beissbarth recommend for tires?,"Replace tires, check tire pressure, and check wheel alignment. ",1420915,6
infographic,What other aspect should be considered when evaluating a student beyond their academic performance?,Holistic advising,1156980,177
infographic,What is the utilising common set units in modelling and outputs?,"MW, MWh",2230864,19
infographic,What considered a Service used in Mobility Services Aggregator or MaaS Provider?,Car Clubs/ Fleets/ Car,2248035,5
infographic,"When individuals wear face masks or respirators, what are the chances of infection or transmission?",3.10%,1000360,3
infographic,What year did the expanded compliance school occur?,2019,2317507,103
infographic,What are the waste product from the cow that serves as a fertilizer?,Dung and urine,2262231,1
infographic,"In governance, AHPRA enters a formal agreement with council on behalf of board with details of ?",services and funding,2412070,5
infographic,"What do SIGINT, GEOINT, and WX stand for?","SIGINT - signals intelligence 

GEOINT - geospatial intelligence 

WX - weather ",1326089,62
infographic,What do you call to an object used to protect the sea turtle from danger of predation and has to be installed 2 metres apart in the hatchery?,nests,2257670,8
infographic,What are one of the challenges of terraforming Mars?,"increase the atmospheric pressure, which is currently less than 1% that of Earth.",1227955,6
infographic,"According to zone 1, how far is the required feet to keep the tree branches away from the chimney and other trees?",10,2179890,1
infographic,What feature of autonomous machine that helps to radar incoming cars that cannot be seen visually by the side mirror?,Blind spot detection,2251524,0
infographic,"In Block diagram of DSSC power module, the storage device is stored of what ion capacitor?",Lithium,2409286,2
infographic,How many jobs are supported by PIP in the Portsmouth city council area?,"2,410",2231857,2
infographic,What are the main topics when it comes to the ecuador whatsapp information line?,"Blood donation, psychological support, covid-19, migration, and risk reduction.",1374189,97
infographic,At what age can you join the DuPage Children's Museum's Spring Break Camp?,7-10,1033210,16
infographic,What happens when an RNA vaccine is injected into a patient?,It enters cells and tells them to produce coronavirus spike protein,1144040,111
infographic,"Since March 2020, what percentage of respondents reported that they were unable to receive arthritis specific healthcare services? ",32%,2193296,0
infographic,What makes up the strong evidence rule?,Evidence and Dissent,1002697,17
infographic,"If out in the wilderness, what surface can you use to safely fillet a fish with a knife?",A log,1243369,14
infographic,"According to Anticoagulation Centers of Excellence for treatment of Cancer-Associate Venous Thrombeombolism (VTE) , what is the duration months to study Hokusai VTE Cancer4 in landmark trial characteristics?",12 months,2141199,25
infographic,What do you call to a continuum of collaboration where there is limited student portability?,Pre-redesign PASSHE,2029694,206
infographic,How many school pupils grown up in Medway has social emotional and mental health needs in the year 2018?,1482,2279695,10
infographic,"If an individual is addicted to marijuana, what are the chances of them being addicted to heroin?",3x more likely to be addicted to heroin,1064553,0
infographic,What is the electrical safety device that should be installed and test once a month?,Ground Fault Circuit Interrupters,2403632,23
infographic,Who created the five step plan?,Douglas G. Pratt,2308830,1
infographic,What kind of gas is the 2/3rds of aviation's total climate impact according to transport & environment?,non-co2,2029469,17
infographic,What is the disease that result from correction of metabolic acidosis?,Hypokalemia,2132659,238
infographic,How did we help caregivers provide better care to their patients?,We trained 252 caregivers in being able to use music with their routine.,2198517,8
infographic,"In verse john 11:1-45, Jesus raised Lazarus from what?",the dead,2275559,24
infographic,"In the program outline for three months, the above the line is called the 'Doing Agile' and the below the line is called?",Being Agile',2321888,81
infographic,"In Humidity-Control Bags cycle, what do you call the substance that returned to refresh saline brine concentration for next bag reuse?",SALT,2241995,27
infographic,What percentage of gamers do in-game chat with people they're friends with?,67%,1073663,23
infographic,"In Economic Stabilization, What is the highest percentage that Small Business Relief Loan/ Grant owned?",50%,2331520,78
infographic,What are the benefits of researching and developing a solution with a modular design platform?,To allow for fast tweaks and customization,1132343,47
infographic,What virus is chemically inactivated with a chemical called beta-propiolactone?,SARS-CoV2,1832877,62
infographic,What comes after insufficient support from directly affected residents?,Review complete councillor may request a report.,1330815,163
infographic,"In Mental Health Services and Support, what is the name of the service hotline for counseling men?",Mensline,2179881,11
infographic,"In 4 Tiers of Caregiver Celebration, what do you called an award where quarterly institute-level managers nominate top performing individuals and team?",Excellence Awards,2187784,29
infographic,What does the End-user zone consist of?,"Mail Server, SIEM, and Blue team & threat hunter",1314022,19
infographic,"In scope for policy alignment in government, what is under the national?",National Development Plan (NDP) 2030),2234793,15
infographic,"In the Oracle Real Application Cluster, what database is the ASM Shared storage stored at including the Datafiles, Log Files and Control Files?",PROD Database,2158222,109
infographic,How effective are Chevron signs in reducing nighttime accidents?,Chevron signs reduce nighttime crashes by 25%,2020425,629
infographic,"According to the Safe System Approach, who are the vulnerable to death or severe injury as vehicular speed increases?",Pedestrians and bicyclists,2309243,9
infographic,Who created the social distancing in public parks and trails guidelines for COVID-19?,National Recreation and Park Association,2077790,3
infographic,"What do you call the disease model that includes the isogenic cell lines, knock cell lines, and cell lines?",vitro,2037338,108
infographic,What is the last process in waterfall phase that helps to diagnose any issues or problem before the software is released?,Testing,2238249,14
infographic,What are the two ouputs of message passing graph neural network?,Graph embeddings and dynamic graph embedding.,1286228,50
infographic,"In Housing and urban areas, what is used to concentrate growth away from critical areas?",UGAs,2317530,86
infographic,"In terms of SARS-CoV-2, what is the next step after Thrombin generation?",Fibrinogen to fibrin,1257474,14
infographic,What do CO₂ and sugar participate in within chloroplasts?,The Calvin Cycle.,1347269,2
infographic,How are physical and mental health connected?,Physical and mental health are connected because eating well and exercising help release endorphins,1093596,0
infographic,What are the key purposes of the Dubbo Project deposit?,"Defence, renewable energy, aerospace, electric vehicles, and electronics. ",1334928,7
infographic,What should SCHOOLMONTANA be supporting?,"SCHOOLMONTANA must support all modern versions of JUNOS, which isa version of FreeBSD customized by Juniper. ",1284408,8
infographic,"What climate of development attitude and behaviors includes the children in making decisions, correcting the children's own mistakes, and acknowledging the children's ideas?",Kids Share Control,2034985,4
infographic,What is the eighth step in sanitizing your hands from any microbe or virus?,Air dry,2195644,3
infographic,"According to the IFCA, What is the mininum size that a plaice in cm can be to keep?",27,2227308,1
infographic,Who is the recreation coordinator under the Parks and Recreation Hierarchy Chart?,Travis Anderson,2202524,82
infographic,"Over how many days did patients who completed self-assessments, received the study product, and underwent a blood draw at the end of the study period participate?",14 days.,1275957,7
infographic,What are some components when it comes to exosome based cancer?,"Exosomes-SIRPa variant, exosomes-TRAIL, and cell apoptosis. ",1392116,4
infographic,"According to the Switzerland Confederation, who does the Cyber Core Group work directly with?",Federal Cyber Security Delegate,1168060,22
infographic,"In dangerous snakes of Southern Africa, the thelotornis capensis is also known as?",Southern Vine Snake,2078136,0
infographic,"Based on Total Work Zone Fatal Crashes, how many fatal crashes on a highway were there in 2015?",23,2198983,3
infographic,"According to mobileiron, what mobileiron foundation is responsible for provision secure workspace, distribute apps, and remotely wipe device through one console?",UEM,2157127,11
infographic,Which data or global monitoring concerning poverty based on the Sustainable Development Goals Indicators is unavailable?,"Secure land rights, local disaster risk, poverty reduction prog, and inflows to poverty red",1358620,1
infographic,What do you call to the process where the heat is transferred from the primary coolant through the walls of the tubes in the steam generator?,Conduction,2031933,10
infographic,What are the advantages of a recyclable container?,"The lid keeps materials contained, holds more recyclables, all in one container - no need to sort at home, and it rolls easier than currying to the curb. ",1315560,14
infographic,What is the average age player that plays lotteries according to gatherwell?,50-60 years old,1845210,18
infographic,"Based on the organizational effectiveness, which jobs have the word ""community"" specifically in them?",Cultural and community services and Community development,1302892,32
infographic,What is made up of WP1A1?,"Patient-derived sample collection brain tumors, sarcomas, neuroblastoma molecular profiling data. ",1426362,4
infographic,What does one method of in-place mineral extraction that uses an environmentally friendly solution involve?," It involves no creation of open holes, waste dumps, leach pads, or tailings.",1061941,8
infographic,"In Police sector council competency-based management, adaptability and teamwork are under of what competencies? ",Behavioural,2121758,11
infographic,Where the evaluation of transgene-high-expressors occur?,molecular biological and biochemical levels,2022224,9
infographic,How many meters can the frequency of 472 kHz can reach according to US Amateur Radio Bands?,630 Meters,2066371,12
infographic,"From the shapes environment under the policy owners, the framework conditions is for?",INNOVATION,2205481,17
